objectid,name,canton,volume,altitude,area,depth,type,year,height
6505,Lac de Sihl,Schwytz,97,889,10.72,23,Gravity dam,1937,33
6524,Lac de la Gruyère,Fribourg,220,677,9.60,Arch dam,1947,83
6525,Lago di Livigno,Italie & Grisons,165,1805,4.71,119,Arch dam,1968,130
6519,Lac de Schiffenen,Fribourg,66,532,4.25,38,Arch dam,1963,47
6506,Wägitalersee,Schwytz,150,900,4.18,65,Gravity dam,1924,111
6543,Lago di Lei,Italie & Grisons,197,1931,4.12,133,Arch dam,1961,141
6573,Lac des Dix,Valais,401,2365,3.65,227,Gravity dam,1961,285
6513,Wohlensee,Berne,25,480,3.65,20,Gravity dam,1920,29
6571,Klöntalersee,Glaris,56,847,3.29,47,,1910,30
6510,Lac d'Émosson,Valais,227,1930,3.27,161,Arch dam,1974,180
6537,Grimselsee,Berne,103,1908,2.63,100,Arch dam,1932,114
6582,Lac de Mauvoisin,Valais,211,1961,2.08,180,Arch dam,1957,250
6532,Lai da Sontga Maria,Grisons,67,1908,1.77,86,Arch dam,1968,117
6578,Mattmarksee,Valais,101,2197,1.76,93,Barrage,1967,120
6562,Lago di Vogorno,Tessin,105,470,1.68,204,Arch dam,1965,220
6565,Lac de Salanfe,Valais,40,1925,1.62,48,Gravity dam,1952,52
6534,Zervreilasee,Grisons,101,1862,1.61,140,Arch dam,1957,151
6551,Lac de l'Hongrin,Vaud,53,1255,1.60,105,Arch dam,1969,125
6593,Lago Bianco,Grisons,19,2234,1.50,53,Gravity dam,1912,26
6540,Lago Ritom,Tessin,54,1850,1.49,69,Gravity dam,1920,27
